"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","LATITUDE","LONGITUDE","dist"
"2091","PAST SALE",2017-07-26,"Single Family Residential","3755 Kanawha St NW","Washington","DC",20015,1709000,4,4.5,"Chevy Chase",3560,5880,1920,85,480,NA,"http://www.redfin.com/DC/Washington/3755-Kanawha-St-NW-20015/home/9971026","MRIS","DC9943647",38.960522,-77.0741369,0.623193026211402
"2092","PAST SALE",2017-08-09,"Single Family Residential","3722 24th St NE","Washington","DC",20018,729000,4,3.5,"Woodridge",1083,3105,1927,71,673,NA,"http://www.redfin.com/DC/Washington/3722-24th-St-NE-20018/home/10103937","MRIS","DC9999479",38.9359367,-76.9723869,1.20089881646067
"2093","PAST SALE",2017-08-15,"Single Family Residential","3765 Northampton St NW","Washington","DC",20015,1787500,4,3,"Chevy Chase",4385,9563,1907,65,408,NA,"http://www.redfin.com/DC/Washington/3765-Northampton-St-NW-20015/home/9970567","MRIS","DC9935322",38.9660349,-77.0753961,0.660964168446235
"2094","PAST SALE",NA,"Condo/Co-op","2735 Connecticut Ave NW","Washington","DC",20008,1200000,4,3,"",2016,NA,1922,NA,595,NA,"http://www.redfin.com/DC/Washington/2735-Connecticut-Ave-NW-20008/home/9989029","","",38.9268131,-77.0530813,0.0616892639280353
"2095","PAST SALE",2017-08-05,"Single Family Residential","3039 Oliver St NW","Washington","DC",20015,1130000,4,3,"Chevy Chase",3509,5732,1949,75,322,NA,"http://www.redfin.com/DC/Washington/3039-Oliver-St-NW-20015/home/9993941","MRIS","DC9986451",38.9674049,-77.0588004,1.5170214939485
"2096","PAST SALE",NA,"Single Family Residential","5137 Yuma St NW","Washington","DC",20016,1450000,4,5.5,"",4106,12097,1988,NA,353,NA,"http://www.redfin.com/DC/Washington/5137-Yuma-St-NW-20016/home/9944981","","",38.9460279,-77.1015123,1.19764567795957
"2097","PAST SALE",2017-08-09,"Multi-Family (5+ Unit)","419 Kennedy St NW","Washington","DC",20011,825000,NA,NA,"Petworth",2720,4760,1935,71,303,NA,"http://www.redfin.com/DC/Washington/419-Kennedy-St-NW-20011/home/10061593","MRIS","DC10027350",38.9566747,-77.0186245,1.06980830281907
"2098","PAST SALE",NA,"Multi-Family (2-4 Unit)","5109 2nd St NW Apt 2","Washington","DC",20011,362500,4,4,"",2800,3450,1937,NA,129,NA,"http://www.redfin.com/DC/Washington/5109-2nd-St-NW-20011/unit-2/home/10069808","","",38.9526476,-77.0132256,0.74040982943827
"2099","PAST SALE",2017-08-25,"Single Family Residential","6635 Harlan Pl NW","Washington","DC",20012,655000,4,2.5,"Takoma Park",1760,3890,1925,55,372,NA,"http://www.redfin.com/DC/Washington/6635-Harlan-Pl-NW-20012/home/10067767","MRIS","DC10009854",38.9714185,-77.0103576,0.487166510679916
"2100","PAST SALE",2017-08-15,"Single Family Residential","4405 Southern Ave","Capitol Heights","MD",20743,100000,4,2,"Bradbury Heights",1440,4400,1940,65,69,NA,"http://www.redfin.com/MD/Capitol-Heights/4405-Southern-Ave-SE-20743/home/12486969","MRIS","PG9935563",38.873142,-76.934226,1.19413292550061
"2101","PAST SALE",NA,"Multi-Family (2-4 Unit)","2800 Texas Ave SE","Washington","DC",20020,380190,4,4,"",3496,3551,1953,NA,109,NA,"http://www.redfin.com/DC/Washington/2800-Texas-Ave-SE-20020/home/10151469","","",38.8678239,-76.9675432,1.28816123239242
"2102","PAST SALE",2017-08-22,"Single Family Residential","2007 32nd St SE","Washington","DC",20020,575000,4,2.5,"Hill Crest",1641,5250,2005,58,350,NA,"http://www.redfin.com/DC/Washington/2007-32nd-St-SE-20020/home/10340907","MRIS","DC9970049",38.8652969,-76.961774,1.00697900649778
"2103","PAST SALE",2017-08-14,"Single Family Residential","1415 Roxanna Rd NW","Washington","DC",20012,845000,4,3.5,"Shepherd Park",2952,5000,1947,66,286,NA,"http://www.redfin.com/DC/Washington/1415-Roxanna-Rd-NW-20012/home/10021331","MRIS","DC9991993",38.9879808,-77.0320803,0.385861022642745
"2104","PAST SALE",2017-08-25,"Single Family Residential","1330 Kalmia Rd NW","Washington","DC",20012,720000,4,3,"Shepherd Park",1610,5125,1929,55,447,NA,"http://www.redfin.com/DC/Washington/1330-Kalmia-Rd-NW-20012/home/10022122","MRIS","DC10004585",38.984529,-77.0309146,0.628386641417499
"2105","PAST SALE",2017-08-30,"Multi-Family (2-4 Unit)","1504 18th St SE","Washington","DC",20020,600000,NA,NA,"Anacostia",3440,3024,1941,50,174,NA,"http://www.redfin.com/DC/Washington/1504-18th-St-SE-20020/home/10147414","MRIS","DC9852739",38.8717368,-76.9787321,0.753274792068364
